Store,log(CompetitionDistiance),Promo,Promo2,SchoolHoliday,StoreType,Assortment,StateHoliday,DayOfWeek,Month,Day,Year,WeekOfYear,CompetitionOpen,Promo2Open,IsPromo2Month,Id
1,7.14755927119,1,0,0,3,1,0,3,9,17,2015,38,84.0,0.0,0,1
1,7.14755927119,1,0,0,3,1,0,2,9,16,2015,38,84.0,0.0,0,857
1,7.14755927119,1,0,0,3,1,0,1,9,15,2015,38,84.0,0.0,0,1713
1,7.14755927119,1,0,0,3,1,0,0,9,14,2015,38,84.0,0.0,0,2569
1,7.14755927119,0,0,0,3,1,0,6,9,13,2015,37,84.0,0.0,0,3425
1,7.14755927119,0,0,0,3,1,0,5,9,12,2015,37,84.0,0.0,0,4281
1,7.14755927119,0,0,0,3,1,0,4,9,11,2015,37,84.0,0.0,0,5137
1,7.14755927119,0,0,0,3,1,0,3,9,10,2015,37,84.0,0.0,0,5993
1,7.14755927119,0,0,0,3,1,0,2,9,9,2015,37,84.0,0.0,0,6849
1,7.14755927119,0,0,0,3,1,0,1,9,8,2015,37,84.0,0.0,0,7705
1,7.14755927119,0,0,0,3,1,0,0,9,7,2015,37,84.0,0.0,0,8561
1,7.14755927119,0,0,0,3,1,0,6,9,6,2015,36,84.0,0.0,0,9417
1,7.14755927119,0,0,0,3,1,0,5,9,5,2015,36,84.0,0.0,0,10273
1,7.14755927119,1,0,1,3,1,0,4,9,4,2015,36,84.0,0.0,0,11129
1,7.14755927119,1,0,1,3,1,0,3,9,3,2015,36,84.0,0.0,0,11985
1,7.14755927119,1,0,1,3,1,0,2,9,2,2015,36,84.0,0.0,0,12841
1,7.14755927119,1,0,1,3,1,0,1,9,1,2015,36,84.0,0.0,0,13697
1,7.14755927119,1,0,1,3,1,0,0,8,31,2015,36,83.0,0.0,0,14553
1,7.14755927119,0,0,1,3,1,0,6,8,30,2015,35,83.0,0.0,0,15409
1,7.14755927119,0,0,1,3,1,0,5,8,29,2015,35,83.0,0.0,0,16265
1,7.14755927119,0,0,1,3,1,0,4,8,28,2015,35,83.0,0.0,0,17121
1,7.14755927119,0,0,1,3,1,0,3,8,27,2015,35,83.0,0.0,0,17977
1,7.14755927119,0,0,1,3,1,0,2,8,26,2015,35,83.0,0.0,0,18833
1,7.14755927119,0,0,1,3,1,0,1,8,25,2015,35,83.0,0.0,0,19689
1,7.14755927119,0,0,1,3,1,0,0,8,24,2015,35,83.0,0.0,0,20545
1,7.14755927119,0,0,1,3,1,0,6,8,23,2015,34,83.0,0.0,0,21401
1,7.14755927119,0,0,1,3,1,0,5,8,22,2015,34,83.0,0.0,0,22257
1,7.14755927119,1,0,1,3,1,0,4,8,21,2015,34,83.0,0.0,0,23113
1,7.14755927119,1,0,1,3,1,0,3,8,20,2015,34,83.0,0.0,0,23969
1,7.14755927119,1,0,1,3,1,0,2,8,19,2015,34,83.0,0.0,0,24825
1,7.14755927119,1,0,1,3,1,0,1,8,18,2015,34,83.0,0.0,0,25681
1,7.14755927119,1,0,1,3,1,0,0,8,17,2015,34,83.0,0.0,0,26537
1,7.14755927119,0,0,1,3,1,0,6,8,16,2015,33,83.0,0.0,0,27393
1,7.14755927119,0,0,1,3,1,0,5,8,15,2015,33,83.0,0.0,0,28249
1,7.14755927119,0,0,1,3,1,0,4,8,14,2015,33,83.0,0.0,0,29105
1,7.14755927119,0,0,1,3,1,0,3,8,13,2015,33,83.0,0.0,0,29961
1,7.14755927119,0,0,1,3,1,0,2,8,12,2015,33,83.0,0.0,0,30817
